name,assembly_barcode,assembly_status,city,collection_date,collection_month,collection_time,DATE,comment,continent,country,county,created,download_fasta_link,email,lab_contact,lastmodified,latitude,longitude,n50,orderby,postcode,region,sample_accession,secondary_sample_accession,serotype,source_details,source_niche,source_type,strain_barcode,strain_name,sts,top_species,uberstrain,version,GENOTYPE,cgMLST,cgMLST_v2,rMLST,wgMLST,d5,d150,d400,d0,d2000,d2,d200,d2600,d50,d900,d100,d2850,d10,d20,dashboard view
SAL_AA7051AA,SAL_EA1761AA_AS,Assembled,,,6,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1761AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2018-11-29T13:47:47.793516+00:00,,,412093,barcode,,,SAMN03863381,SRS1045120,Heidelberg,Age: 10-19; stool,Human,Human,SAL_AA7051AA,PNUSAS000536,"[{'predicted_serotype': 'Heidelberg', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0015AA_ST', 'st_complex': '26', 'st_id': 15, 'timestamp': '2018-01-28 22:37:30.966077', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_FA7390AA_ST', 'st_id': 12196, 'timestamp': '2016-10-13 18:38:35.765386', 'version': '3.1', 'HC': {'d0': '12196', 'd10': '3353', 'd100': '536', 'd150': '536', 'd2': '10419', 'd20': '2652', 'd200': '536', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '536', 'd5': '10419', 'd50': '536', 'd900': '536'}}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4946AA_ST', 'st_id': 44943, 'timestamp': '2016-10-13 18:33:52.717024', 'version': '3.1'}, {'predicted_serotype': 'Heidelberg', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1427AA_ST', 'st_complex': '26.1', 'st_id': 1428, 'timestamp': '2018-01-27 22:46:29.510998', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4950AA_ST', 'st_id': 38044, 'timestamp': '2016-10-13 18:48:38.621890', 'version': '3.1'}]",Salmonella enterica;100.0%,SAL_AA7051AA,1,15,38044,12196,1428,44943,10419,536,536,12196,2,10419,536,2,536,536,536,2,3353,2652,include
SAL_AA7052AA,SAL_EA1762AA_AS,Assembled,,,6,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1762AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2018-11-29T13:47:47.793516+00:00,,,145412,barcode,,,SAMN03940865,SRS1045121,"I 4,[5],12:I:-",Age: 30-39; stool,Human,Human,SAL_AA7052AA,PNUSAS000604,"[{'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4788AA_ST', 'st_id': 39553, 'timestamp': '2016-10-13 18:38:35.914408', 'version': '3.1', 'HC': {'d0': '39553', 'd10': '2', 'd100': '2', 'd150': '2', 'd2': '5544', 'd20': '2', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '6', 'd50': '2', 'd900': '2'}}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA2173AA_ST', 'st_complex': '1', 'st_id': 2379, 'timestamp': '2018-01-21 04:51:16.436288', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4951AA_ST', 'st_id': 38045, 'timestamp': '2016-10-13 18:47:41.993864', 'version': '3.1'}, {'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1368AA_ST', 'st_complex': '1', 'st_id': 1369, 'timestamp': '2018-01-27 22:45:54.426604', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4945AA_ST', 'st_id': 44942, 'timestamp': '2016-10-13 18:33:52.714010', 'version': '3.1'}]",Salmonella enterica;99.0%,SAL_AA7052AA,1,2379,38045,39553,1369,44942,6,2,2,39553,2,5544,2,2,2,2,2,2,2,2,include
SAL_AA7053AA,SAL_EA1763AA_AS,Assembled,,,6,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1763AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2018-11-29T13:47:47.793516+00:00,,,150316,barcode,,,SAMN03940863,SRS1045122,"I 4,[5],12:I:-",Age: 30-39,Human,Human,SAL_AA7053AA,PNUSAS000602,"[{'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4787AA_ST', 'st_id': 39552, 'timestamp': '2016-10-13 18:38:35.910134', 'version': '3.1', 'HC': {'d0': '39552', 'd10': '2', 'd100': '2', 'd150': '2', 'd2': '5544', 'd20': '2', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '6', 'd50': '2', 'd900': '2'}}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA2173AA_ST', 'st_complex': '1', 'st_id': 2379, 'timestamp': '2018-01-21 04:51:16.436093', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4952AA_ST', 'st_id': 38046, 'timestamp': '2016-10-13 18:47:41.998506', 'version': '3.1'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4944AA_ST', 'st_id': 44941, 'timestamp': '2016-10-13 18:33:52.711028', 'version': '3.1'}, {'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1368AA_ST', 'st_complex': '1', 'st_id': 1369, 'timestamp': '2018-01-27 22:45:54.426804', 'version': '3.0'}]",Salmonella enterica;100.0%,SAL_AA7053AA,1,2379,38046,39552,1369,44941,6,2,2,39552,2,5544,2,2,2,2,2,2,2,2,include
SAL_AA7054AA,SAL_EA1766AA_AS,Assembled,,,6,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1766AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2022-07-16T15:41:46.584755+00:00,,,172277,barcode,,,SAMN03940862,SRS1045114,"I 4,[5],12:I:-",Age: 5-9; stool,Human,Human,SAL_AA7054AA,PNUSAS000601,"[{'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1368AA_ST', 'st_complex': '1', 'st_id': 1369, 'timestamp': '2018-01-27 22:45:54.427205', 'version': '3.0'}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA2173AA_ST', 'st_complex': '1', 'st_id': 2379, 'timestamp': '2018-01-21 04:51:16.435899', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4943AA_ST', 'st_id': 44940, 'timestamp': '2016-10-13 18:33:52.707949', 'version': '3.1'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_FA6378AA_ST', 'st_id': 11184, 'timestamp': '2016-10-13 18:38:35.759349', 'version': '3.1', 'HC': {'d0': '11184', 'd10': '2', 'd100': '2', 'd150': '2', 'd2': '5544', 'd20': '2', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '6', 'd50': '2', 'd900': '2'}}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4954AA_ST', 'st_id': 38048, 'timestamp': '2016-10-13 18:49:11.893190', 'version': '3.1'}]",Salmonella enterica;100.0%,SAL_AA7054AA,1,2379,38048,11184,1369,44940,6,2,2,11184,2,5544,2,2,2,2,2,2,2,2,include
SAL_AA7055AA,SAL_EA1765AA_AS,Assembled,,,6,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1765AA_AS&database=senterica,pfge@cdc.gov,PulseNet Next Generation Subtyping Methods Unit,2018-11-29T13:47:47.793516+00:00,,,136708,barcode,,,SAMN03940861,SRS1045115,"I 4,[5],12:I:-",Age: 50-59; stool,Human,Human,SAL_AA7055AA,PNUSAS000600,"[{'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4957AA_ST', 'st_id': 38051, 'timestamp': '2016-10-13 18:49:20.641218', 'version': '3.1'}, {'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1368AA_ST', 'st_complex': '1', 'st_id': 1369, 'timestamp': '2018-01-27 22:45:54.427004', 'version': '3.0'}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA2173AA_ST', 'st_complex': '1', 'st_id': 2379, 'timestamp': '2018-01-21 04:51:16.461388', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4942AA_ST', 'st_id': 44939, 'timestamp': '2016-10-13 18:35:25.840751', 'version': '3.1'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_FA6378AA_ST', 'st_id': 11184, 'timestamp': '2016-10-13 18:38:35.759473', 'version': '3.1', 'HC': {'d0': '11184', 'd10': '2', 'd100': '2', 'd150': '2', 'd2': '5544', 'd20': '2', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '6', 'd50': '2', 'd900': '2'}}]",Salmonella enterica;98.87%,SAL_AA7055AA,1,2379,38051,11184,1369,44939,6,2,2,11184,2,5544,2,2,2,2,2,2,2,2,include
SAL_AA7056AA,SAL_EA1764AA_AS,Assembled,,,4,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1764AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2018-11-29T13:47:47.793516+00:00,,,406186,barcode,,,SAMN03801382,SRS1045116,Enteritidis,Age: 20-29; stool,Human,Human,SAL_AA7056AA,PNUSAS000496,"[{'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4940AA_ST', 'st_id': 44937, 'timestamp': '2016-10-13 18:33:39.943153', 'version': '3.1'}, {'predicted_serotype': 'Enteritidis', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1424AA_ST', 'st_complex': '4.1', 'st_id': 1425, 'timestamp': '2018-01-27 22:46:12.166606', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4786AA_ST', 'st_id': 39551, 'timestamp': '2016-10-13 18:38:35.902604', 'version': '3.1', 'HC': {'d0': '39551', 'd10': '12', 'd100': '12', 'd150': '12', 'd2': '21924', 'd20': '12', 'd200': '12', 'd2000': '12', 'd2600': '2', 'd2850': '2', 'd400': '12', 'd5': '8402', 'd50': '12', 'd900': '12'}}, {'predicted_serotype': 'Enteritidis', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0011AA_ST', 'st_complex': '4', 'st_id': 11, 'timestamp': '2018-01-28 22:36:48.657954', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4953AA_ST', 'st_id': 38047, 'timestamp': '2016-10-13 18:46:56.351199', 'version': '3.1'}]",Salmonella enterica;100.0%,SAL_AA7056AA,1,11,38047,39551,1425,44937,8402,12,12,39551,12,21924,12,2,12,12,12,2,12,12,include
SAL_AA7057AA,SAL_EA1767AA_AS,Assembled,,,4,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1767AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2019-05-31T20:15:59.313079+00:00,,,406439,barcode,,,SAMN03801381,SRS1045117,Enteritidis,Age: 50-59; stool,Human,Human,SAL_AA7057AA,PNUSAS000495,"[{'predicted_serotype': 'Enteritidis', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0011AA_ST', 'st_complex': '4', 'st_id': 11, 'timestamp': '2018-01-28 22:36:48.658145', 'version': '3.0'}, {'predicted_serotype': 'Enteritidis', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1424AA_ST', 'st_complex': '4.1', 'st_id': 1425, 'timestamp': '2018-01-27 22:46:12.166780', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_GA2745AA_ST', 'st_id': 17527, 'timestamp': '2016-10-13 18:38:35.784110', 'version': '3.1', 'HC': {'d0': '17527', 'd10': '580', 'd100': '12', 'd150': '12', 'd2': '4583', 'd20': '177', 'd200': '12', 'd2000': '12', 'd2600': '2', 'd2850': '2', 'd400': '12', 'd5': '4583', 'd50': '12', 'd900': '12'}}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4941AA_ST', 'st_id': 44938, 'timestamp': '2016-10-13 18:35:25.837319', 'version': '3.1'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4956AA_ST', 'st_id': 38050, 'timestamp': '2016-10-13 18:49:03.261940', 'version': '3.1'}]",Salmonella enterica;100.0%,SAL_AA7057AA,1,11,38050,17527,1425,44938,4583,12,12,17527,12,4583,12,2,12,12,12,2,580,177,include
SAL_AA7058AA,SAL_EA1769AA_AS,Assembled,,,3,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1769AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2019-02-06T21:21:18.589443+00:00,,,406219,barcode,,,SAMN03801380,SRS1045118,Enteritidis,Age: 0-4; stool,Human,Human,SAL_AA7058AA,PNUSAS000494,"[{'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4955AA_ST', 'st_id': 38049, 'timestamp': '2016-10-13 18:47:00.618462', 'version': '3.1'}, {'predicted_serotype': 'Enteritidis', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1424AA_ST', 'st_complex': '4.1', 'st_id': 1425, 'timestamp': '2018-01-27 22:46:12.166956', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_FA7454AA_ST', 'st_id': 12260, 'timestamp': '2016-10-13 18:38:35.772948', 'version': '3.1', 'HC': {'d0': '12260', 'd10': '12', 'd100': '12', 'd150': '12', 'd2': '8402', 'd20': '12', 'd200': '12', 'd2000': '12', 'd2600': '2', 'd2850': '2', 'd400': '12', 'd5': '8402', 'd50': '12', 'd900': '12'}}, {'predicted_serotype': 'Enteritidis', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0011AA_ST', 'st_complex': '4', 'st_id': 11, 'timestamp': '2018-01-28 22:36:48.658330', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4937AA_ST', 'st_id': 44934, 'timestamp': '2016-10-13 18:35:25.833944', 'version': '3.1'}]",Salmonella enterica;100.0%,SAL_AA7058AA,1,11,38049,12260,1425,44934,8402,12,12,12260,12,8402,12,2,12,12,12,2,12,12,include
SAL_AA7059AA,SAL_EA1768AA_AS,Assembled,,,8,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1768AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2019-11-11T19:03:37.260547+00:00,,,406761,barcode,,,SAMN04005867,SRS1045112,Newport,Age: 30-39; stool,Human,Human,SAL_AA7059AA,PNUSAS000743,"[{'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4959AA_ST', 'st_id': 38053, 'timestamp': '2016-10-13 18:49:11.229036', 'version': '3.1'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4934AA_ST', 'st_id': 44931, 'timestamp': '2016-10-13 18:35:25.830884', 'version': '3.1'}, {'predicted_serotype': 'Newport', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1421AA_ST', 'st_complex': '2.1', 'st_id': 1422, 'timestamp': '2018-01-27 22:46:03.891104', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4785AA_ST', 'st_id': 39550, 'timestamp': '2016-10-13 18:38:35.899104', 'version': '3.1', 'HC': {'d0': '39550', 'd10': '122', 'd100': '122', 'd150': '122', 'd2': '4560', 'd20': '122', 'd200': '122', 'd2000': '120', 'd2600': '2', 'd2850': '2', 'd400': '120', 'd5': '122', 'd50': '122', 'd900': '120'}}, {'predicted_serotype': 'Newport', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0115AA_ST', 'st_complex': '2', 'st_id': 118, 'timestamp': '2018-01-28 22:38:05.010816', 'version': '3.0'}]",Salmonella enterica;97.44%,SAL_AA7059AA,1,118,38053,39550,1422,44931,122,122,120,39550,120,4560,122,2,122,120,122,2,122,122,include
SAL_AA7060AA,SAL_EA1770AA_AS,Assembled,,,7,,2015,,North America,United States,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA1770AA_AS&database=senterica,pfge@cdc.gov,Centers for Disease Control and Prevention - PulseNet,2023-03-02T20:31:35.089763+00:00,,,384022,barcode,,,SAMN04005866,SRS1045113,Newport,Age: 50-59; stool,Human,Human,SAL_AA7060AA,PNUSAS000742,"[{'predicted_serotype': 'Newport', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1421AA_ST', 'st_complex': '2.1', 'st_id': 1422, 'timestamp': '2018-01-27 22:46:03.891277', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4936AA_ST', 'st_id': 44933, 'timestamp': '2016-10-13 18:33:52.704762', 'version': '3.1'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA4958AA_ST', 'st_id': 38052, 'timestamp': '2016-10-13 18:49:11.897518', 'version': '3.1'}, {'predicted_serotype': 'Newport', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0005AA_ST', 'st_complex': '2', 'st_id': 5, 'timestamp': '2018-01-27 05:00:44.099267', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_FA3800AA_ST', 'st_id': 8606, 'timestamp': '2016-10-13 18:38:35.754152', 'version': '3.1', 'HC': {'d0': '8606', 'd10': '8555', 'd100': '120', 'd150': '120', 'd2': '8606', 'd20': '3108', 'd200': '120', 'd2000': '120', 'd2600': '2', 'd2850': '2', 'd400': '120', 'd5': '8566', 'd50': '120', 'd900': '120'}}]",Salmonella enterica;100.0%,SAL_AA7060AA,1,5,38052,8606,1422,44933,8566,120,120,8606,120,8606,120,2,120,120,120,2,8555,3108,include
