prefix_lincode_l7,n_genomes,pct_of_all,cumulative_pct,dominant_pathovar,dominant_serotype,dominant_ST,lineage_label_TO_FILL,alias_sonnei_TO_FILL
0-2-0-0-0-0-0,13503,27.77,27.77,Shigella sonnei,Shigella,ST152,,
0-3-0-0-0-0-0,6332,13.02,40.80,Shigella flexneri,2A,ST245,,
0-3-0-0-1-0-0,2138,4.40,45.19,Shigella flexneri,O13/O129/O135:H14,ST245,,
0-3-0-0-0-0-1,595,1.22,46.42,Shigella flexneri, ,ST245,,
0-2-0-0-0-1-0,566,1.16,47.58,Shigella sonnei,Shigella sonnei,ST152,,
0-3-0-1-1-7-1,528,1.09,48.67,Shigella flexneri,O13/O129/O135:H14,ST245,,
0-6-0-0-0-0-0,470,0.97,49.63,Shigella flexneri, ,ST145,,
0-3-0-1-0-0-0,282,0.58,50.21,Shigella flexneri, ,ST1025,,
0-0-0-37-2-0-0,241,0.50,50.71,EIEC,O121:H30,ST6,,
0-3-0-0-2-0-0,175,0.36,51.07,Shigella flexneri, ,ST245,,
0-6-0-1-0-1-2,156,0.32,51.39,Shigella boydii,1,ST243,,
0-3-0-0-0-1-0,155,0.32,51.71,Shigella flexneri,SfXv,ST245,,
0-6-1-0-3-0-2,144,0.30,52.01,Shigella dysenteriae,Sd16 (Predicted),ST148,,
0-6-0-1-0-1-3,126,0.26,52.27,Shigella boydii,Sb18 (Predicted),ST243,,
0-3-0-1-1-4-2,122,0.25,52.52,Shigella flexneri,Sf3a,ST245,,
0-0-0-4-7-0-0,113,0.23,52.75,EIEC,O96:H19,ST99,,
0-6-0-0-1-1-3,95,0.20,52.94,Shigella boydii, ,ST5475,,
0-6-0-0-1-1-0,93,0.19,53.14,Shigella boydii,4,ST145,,
0-0-0-37-2-1-0,92,0.19,53.32,EIEC,O132:H21,ST6,,
0-6-0-0-1-0-6,90,0.19,53.51,Shigella boydii,Sb2,ST145,,
0-36-0-0-0-3-1,87,0.18,53.69,Shigella dysenteriae,Sd1,ST146,,
0-6-0-0-0-0-11,75,0.15,53.84,Shigella flexneri,Sf6 (biovar Boyd 88),ST145,,
0-3-0-0-0-0-3,74,0.15,54.00,Shigella flexneri,2A,ST245,,
0-0-36-0-4-0-0,72,0.15,54.14,EIEC,O40:H19,ST4267,,
0-6-0-0-0-0-3,72,0.15,54.29,Shigella flexneri, ,ST145,,
0-3-0-0-0-0-25,62,0.13,54.42,Shigella flexneri,O13/O129/O135:H14,ST245,,
0-0-17-0-0-1-0,59,0.12,54.54,EIEC,O28Ac:H7,ST311,,
0-12-0-0-1-0-0,57,0.12,54.66,Shigella dysenteriae,Sd prov. BEDP 02-5104 (Predicted),ST288,,
0-0-17-0-0-0-0,51,0.10,54.76,EIEC,O164:H7,ST270,,
0-6-0-0-6-0-0,46,0.09,54.86,Shigella boydii,Sb14,ST1273,,
0-6-1-0-2-0-0,42,0.09,54.94,Shigella dysenteriae,Sd4 (Predicted),ST252,,
0-6-0-0-1-0-3,42,0.09,55.03,Shigella boydii, ,ST145,,
0-2-0-0-0-1-1,39,0.08,55.11,Shigella sonnei,Shigella sonnei,ST152,,
0-6-0-1-0-1-5,35,0.07,55.18,Shigella boydii,Sb8 (Predicted),ST243,,
0-6-0-0-1-0-0,34,0.07,55.25,Shigella boydii, ,ST145,,
0-12-0-0-1-1-2,33,0.07,55.32,Shigella dysenteriae,Sd2,ST147,,
0-12-0-0-1-0-3,33,0.07,55.39,Shigella dysenteriae,Sd2 (Predicted),ST1759,,
0-3-0-4-0-1-0,32,0.07,55.45,Shigella flexneri, ,ST628,,
0-6-0-0-1-0-1,30,0.06,55.52,Shigella boydii,2,ST145,,
0-2-0-0-1-0-1,29,0.06,55.57,Shigella sonnei,Shigella,ST1502,,
0-2-0-0-1-2-2,29,0.06,55.63,Shigella sonnei,Shigella,ST1502,,
0-2-0-0-0-2-0,28,0.06,55.69,Shigella sonnei,NA,ST152,,
0-6-0-0-0-0-9,27,0.06,55.75,Shigella flexneri,Sf6 (biovar Boyd 88),ST145,,
0-3-0-0-2-7-6,27,0.06,55.80,Shigella flexneri,F2B:H-,ST245,,
0-3-0-1-0-0-1,26,0.05,55.86,Shigella flexneri,3a,ST1025,,
0-6-1-0-6-0-1,26,0.05,55.91,Shigella dysenteriae,Sd9 (Predicted),ST252,,
0-3-0-1-2-0-0,26,0.05,55.96,Shigella flexneri, ,ST5400,,
0-6-0-1-2-0-2,25,0.05,56.02,Shigella boydii,Sb10 (Predicted),ST243,,
0-36-0-0-0-3-4,24,0.05,56.06,Shigella dysenteriae,Sd1,ST146,,
0-6-1-0-3-0-0,24,0.05,56.11,Shigella dysenteriae,	Sd3 (Predicted),ST148,,
0-6-1-0-3-0-3,24,0.05,56.16,Shigella dysenteriae,12,ST148,,
0-3-0-0-2-0-1,23,0.05,56.21,Shigella flexneri,E1037,ST8878,,
0-3-0-2-1-1-2,22,0.05,56.26,Shigella flexneri,F4A:H-,ST630,,
0-6-0-0-0-0-4,21,0.04,56.30,Shigella flexneri,Sf6 (biovar Boyd 88),ST145,,
0-6-0-0-0-0-6,21,0.04,56.34,Shigella flexneri,Sf6 (biovar Boyd 88),ST145,,
0-3-0-0-2-0-4,21,0.04,56.39,Shigella flexneri,O13/O129/O135:H14,ST245,,
0-6-1-0-4-0-0,20,0.04,56.43,Shigella dysenteriae,Sd17 (Predicted),ST252,,
0-6-0-1-0-1-6,20,0.04,56.47,Shigella boydii,Sb8 (Predicted),ST243,,
0-3-0-1-1-4-1,20,0.04,56.51,Shigella flexneri,Sf3a,ST245,,
0-3-0-0-0-0-43,20,0.04,56.55,Shigella flexneri,O13/O129/O135:H14,ST245,,
0-12-0-0-1-0-1,20,0.04,56.59,Shigella dysenteriae,Sd2 (Predicted),ST288,,
0-36-0-0-0-3-0,19,0.04,56.63,Shigella dysenteriae,Sd1,ST146,,
0-0-17-0-0-1-1,19,0.04,56.67,EIEC,O28Ac:H7,ST311,,
0-2-0-0-0-1-5,18,0.04,56.71,Shigella sonnei,Shigella,ST152,,
0-3-0-0-2-11-1,17,0.03,56.74,Shigella flexneri,Shigella Flexneri 1 [I:Group Antigens,ST1024,,
0-6-1-0-3-0-6,17,0.03,56.78,Shigella dysenteriae,	Sd3 (Predicted),ST148,,
0-3-0-1-1-5-0,17,0.03,56.81,Shigella flexneri,O13/O129/O135:H14,ST245,,
0-0-0-37-1-0-3,17,0.03,56.85,EIEC,O124:H30,ST6,,
0-0-0-37-2-0-1,16,0.03,56.88,EIEC,O124:H30,ST6,,
0-3-0-0-1-0-11,16,0.03,56.91,Shigella flexneri,Sf1b,ST245,,
0-3-0-0-0-0-34,16,0.03,56.94,Shigella flexneri, ,ST245,,
0-0-17-0-2-0-0,16,0.03,56.98,EIEC,O136:H7,ST270,,
0-3-0-2-1-1-4,16,0.03,57.01,Shigella flexneri, ,ST630,,
0-3-0-1-1-2-1,15,0.03,57.04,Shigella flexneri,Shigella,ST6918,,
0-36-0-0-0-2-0,15,0.03,57.07,Shigella dysenteriae,Sd1,ST260,,
0-3-0-4-0-2-0,15,0.03,57.10,Shigella flexneri, ,ST628,,
0-36-0-0-0-6-0,14,0.03,57.13,Shigella dysenteriae,Sd1,ST146,,
0-6-0-1-2-0-6,14,0.03,57.16,Shigella boydii,6,ST243,,
0-6-1-0-0-1-2,14,0.03,57.19,Shigella dysenteriae,3,ST7364,,
0-3-0-1-0-0-2,13,0.03,57.22,Shigella flexneri,3a,ST1025,,
0-6-0-0-0-0-1,13,0.03,57.24,Shigella flexneri,Sf6 (biovar Boyd 88),ST145,,
0-6-0-0-7-0-0,13,0.03,57.27,Shigella flexneri,Sf6 (biovar Manchester),ST145,,
0-6-0-0-0-0-8,13,0.03,57.30,Shigella flexneri,6,ST145,,
0-3-0-1-1-6-1,13,0.03,57.32,Shigella flexneri,Sf3a,ST245,,
0-2-0-0-1-2-1,12,0.02,57.35,Shigella sonnei,Ss,ST1502,,
0-12-0-0-1-0-2,12,0.02,57.37,Shigella dysenteriae,Sd2 (Predicted),ST1759,,
0-36-0-0-0-2-1,12,0.02,57.40,Shigella dysenteriae,Sd1,ST260,,
0-6-0-0-6-0-2,11,0.02,57.42,Shigella boydii, ,ST1273,,
0-6-0-0-1-1-1,11,0.02,57.44,Shigella boydii,Sb4,ST145,,
0-6-1-0-3-0-1,11,0.02,57.47,Shigella dysenteriae,Sd12,ST148,,
0-6-1-0-3-0-8,11,0.02,57.49,Shigella dysenteriae,Sd3,ST148,,
0-12-1-0-0-2-1,11,0.02,57.51,Shigella boydii,5,ST149,,
0-6-0-1-0-1-7,11,0.02,57.53,Shigella boydii,Sb1,ST243,,
0-3-0-1-1-8-0,11,0.02,57.56,Shigella flexneri,3a,ST245,,
0-3-0-0-0-0-24,11,0.02,57.58,Shigella flexneri,2a,ST245,,
0-36-0-0-0-3-2,10,0.02,57.60,Shigella dysenteriae,Sd1,ST146,,
0-36-0-0-0-3-3,10,0.02,57.62,Shigella dysenteriae,Sd1,ST146,,
0-2-0-0-0-2-3,9,0.02,57.64,Shigella sonnei,Shigella sonnei,ST152,,
0-36-0-0-0-3-6,9,0.02,57.66,Shigella dysenteriae,Sd1,ST146,,
0-0-17-0-2-1-2,9,0.02,57.67,EIEC,O20:H7,ST270,,
0-6-0-0-1-0-8,8,0.02,57.69,Shigella boydii,2,ST145,,
0-36-0-0-0-7-0,8,0.02,57.71,Shigella dysenteriae,Sd1,ST146,,
0-36-0-0-0-3-5,8,0.02,57.72,Shigella dysenteriae,Sd1,ST146,,
0-12-0-0-1-1-0,8,0.02,57.74,Shigella dysenteriae,Sd2 (Predicted),ST147,,
0-6-1-0-3-0-4,8,0.02,57.76,Shigella dysenteriae,Sd12,ST148,,
0-135-0-0-1-0-0,8,0.02,57.77,Shigella boydii,12,ST1767,,
0-3-0-0-0-1-1,8,0.02,57.79,Shigella flexneri,Sf2b,ST5240,,
0-3-0-0-2-5-1,7,0.01,57.80,Shigella flexneri,O13/O129/O135:H14,ST1022,,
0-6-0-0-0-1-2,7,0.01,57.82,Shigella flexneri, ,ST145,,
0-6-0-0-1-0-4,7,0.01,57.83,Shigella boydii, ,ST145,,
0-6-0-0-0-1-4,7,0.01,57.85,Shigella flexneri,6,ST145,,
0-6-0-1-2-0-4,7,0.01,57.86,Shigella boydii,Sb10,ST243,,
0-6-0-1-2-0-0,6,0.01,57.87,Shigella boydii,6,ST17965,,
0-36-0-0-0-9-6,6,0.01,57.89,Shigella dysenteriae,Sd1,ST146,,
0-36-0-0-0-3-10,6,0.01,57.90,Shigella dysenteriae,Sd1,ST146,,
0-12-0-1-1-0-0,6,0.01,57.91,Shigella boydii,Sb9,ST1751,,
0-36-0-0-0-2-3,6,0.01,57.92,Shigella dysenteriae,Sd1,ST260,,
0-0-0-37-1-0-0,6,0.01,57.94,EIEC,O124:H30,ST6,,
0-3-0-2-1-1-5,6,0.01,57.95,Shigella flexneri,O13/O135:,ST630,,
0-6-0-0-0-0-5,6,0.01,57.96,Shigella flexneri,Sf6,ST6370,,
0-6-1-0-6-0-2,6,0.01,57.97,Shigella dysenteriae,Sd9 (Predicted),ST7379,,
0-3-0-0-2-11-0,5,0.01,57.98,Shigella flexneri,F1A:H-,ST1024,,
0-6-1-0-3-1-5,5,0.01,57.99,Shigella dysenteriae,14,ST148,,
0-6-0-0-1-1-5,5,0.01,58.00,Shigella boydii, ,ST145,,
0-6-0-0-0-0-7,5,0.01,58.01,Shigella flexneri, ,ST145,,
0-36-0-0-0-10-0,5,0.01,58.02,Shigella dysenteriae,Sd1,ST146,,
0-12-0-0-1-1-4,5,0.01,58.03,Shigella dysenteriae,Sd2 (Predicted),ST147,,
0-12-0-0-1-1-3,5,0.01,58.05,Shigella dysenteriae,Sd2 (Predicted),ST147,,
0-2-0-0-1-1-0,5,0.01,58.06,Shigella sonnei,NA,ST1502,,
0-2-0-0-0-1-7,5,0.01,58.07,Shigella sonnei,NA,ST152,,
