NAME,MLST ST (Pasteur),MLST PROFILE (Pasteur),CGMLST,LINCODE,SUBLINEAGE,CLONAL GROUP,Inc Types,K Locus (wzi),Capsule type,O LOCUS,O type,Virulence Score,AEROBACTIN (AbST),COLIBACTIN (CbST),SALMOCHELIN (SmST),YERSINIABACTIN (YbST),RmpADC,rmpA2
ERR1204814,11,3_3_1_1_1_1_4,1388,0_0_105_0_9_0_0_10_0_0,258,340,IncFIB(K); IncFII(K); IncN; IncR,KL15 (wzi50),K15,O4,O4,1,0,0,0,ybt 10; ICEKp4 (truncated) (19-1LV),-,-
ERR1204815,11,3_3_1_1_1_1_4,1434,0_0_105_0_9_0_0_18_0_0,258,340,IncFIB(K); IncFII(K); IncL; IncR,KL15 (wzi50),K15,O4,O4,0,0,0,0,0,-,-
ERR1204817,11,3_3_1_1_1_1_4,1388,0_0_105_0_9_0_0_10_0_0,258,340,IncFIB(K); IncFII(K); IncN; IncR,KL15 (wzi50),K15,O4,O4,1,0,0,0,ybt 10; ICEKp4 (truncated) (19-1LV),-,-
ERR1204820,1243,76_1_2_1_7_4_224,1436,0_0_414_0_1_0_0_0_0_0,1243,1243,IncFIB(K); IncFII(K),KL14 (wzi23),K14,OL104,unknown (OL104),0,0,0,0,0,-,-
ERR1204821,512,54_3_1_1_1_1_79,1438,0_0_105_6_0_0_17_65_40_0,258,258,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncX3,KL107 (wzi154),unknown (KL107),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204822,512,54_3_1_1_1_1_79,93,0_0_105_6_0_0_17_65_0_0,258,258,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K); IncX3,KL107 (wzi154),unknown (KL107),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204823,294,2_1_2_1_4_4_87,1441,0_0_282_0_0_0_0_0_0_0,294,294,Col440I,KL30 (wzi274),K30,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204824,12,6_3_1_1_12_1_4,1443,0_0_108_0_0_0_0_0_0_0,12,10130,Col(pHAD28); Col(pHAD28); IncFIB(K); IncFII(pBK30683),KL122 (wzi162),unknown (KL122),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204825,323,2_1_1_1_9_1_93,1444,0_0_363_1_2_0_0_0_0_0,323,323,IncFIB(K)--IncFII(K); IncFIB(pKPHS1),KL21 (wzi262),K21,O3b,O3b,0,0,0,0,0,-,-
ERR1204826,258,3_3_1_1_1_1_79,1445,0_0_105_6_0_0_0_5_14_0,258,258,IncFIB(K); IncFII(K),KL106 (wzi29),unknown (KL106),O1/O2v2,O2afg,1,0,0,0,ybt 13; ICEKp2 (truncated) (299-1LV),-,-
ERR1204827,11,3_3_1_1_1_1_4,1446,0_0_105_0_9_0_0_2_0_0,258,340,Col(pHAD28); Col440I; IncFIB(K); IncFII(K); IncFII(pKPX1)--repB(R1701); IncN,KL15 (wzi50),K15,O4,O4,1,0,0,0,ybt 9; ICEKp3 (183),-,-
ERR1204828,37,2_9_2_1_13_1_16,1447,0_0_109_8_7_0_0_0_0_0,37,3796,Col440I,KL14 (wzi14),K14,O3b,O3b,0,0,0,0,0,-,-
ERR1204829,258,3_3_1_1_1_1_79,1450,0_0_105_6_0_0_17_53_12_0,258,258,ColRNAI; IncFIB(K); IncFII(K),KL107 (wzi154),unknown (KL107),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204830,11,3_3_1_1_1_1_4,1455,0_0_105_0_9_0_0_15_0_0,258,340,IncFIB(K); IncFII(K); IncR,KL15 (wzi50),K15,O4,O4,0,0,0,0,0,-,-
ERR1204831,17,2_1_1_1_4_4_4,1613,0_0_22_24_6_0_0_0_0_0,17,17,Col440I,KL25 (wzi141),K25,O5,O5,1,0,0,0,ybt 14; ICEKp5 (140-2LV),-,-
ERR1204832,11,3_3_1_1_1_1_4,1615,0_0_105_0_3_0_4_0_0_0,258,340,Col(pHAD28); IncFIB(K); IncFII(K),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204834,104,2_3_1_1_2_1_43,1619,0_0_213_0_1_1_0_0_0_0,104,104,IncFIB(K); IncFII(K),KL31 (wzi102),K31,O3b,O3b,1,0,0,0,ybt 9; ICEKp3 (183),-,-
