Genome ID,Genome Name,Version,Kleborate version,strain,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_type,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits
5f492568f87f391ce991e46f,ERR1204814,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,69,220017,520319,5555095,yes (588),ambiguous_bases,ST11,1,1,10,14,ybt 10; ICEKp4 (truncated),19-1LV,-,0,-,0,-,0,-,0,-,wzi50,KL15,K15,none,Very high,99.98%,,O4,O4,-,High,99.64%,O4_06_glycosyltransferase,aadA16*;aph3-Ia.v1^,-,-,qnrB4,-,mphA,catA1^;catB3.v2,arr-3,sul1;sul1,tet(A).v1*,-,dfrA27,DHA-1;OXA-1,-,CTX-M-15,-,-,SHV-11.v1,35Q,OmpK36-21%,-,GyrA-83I;ParC-80I,-,aac(6')-Ib-cr.v1?-0%,ST11,3,3,1,1,1,1,4,16,12,4,3,3,424*-85%,50,3,10,23,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f48b459677a55a3ad246c3a,ERR1204815,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,40,390939,1338531,5528525,yes (595),ambiguous_bases,ST11,0,0,5,6,-,0,-,0,-,0,-,0,-,0,-,wzi50,KL15,K15,none,Very high,99.78%,,O4,O4,none,Very high,99.65%,,aph3-Ia.v1^,-,-,qnrB4,-,-,catA1^,-,sul1;sul1,-,-,-,DHA-1,-,-,-,-,SHV-11.v1,35Q,OmpK35-40%,-,GyrA-83I;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f48d726677a55da4a246ed4,ERR1204817,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,69,242226,520418,5555819,yes (392),ambiguous_bases,ST11,1,1,10,14,ybt 10; ICEKp4 (truncated),19-1LV,-,0,-,0,-,0,-,0,-,wzi50,KL15,K15,none,Very high,99.78%,,O4,O4,-,High,99.64%,O4_06_glycosyltransferase,aadA16*;aph3-Ia.v1^,-,-,qnrB4,-,mphA,catA1^;catB3.v2,arr-3,sul1;sul1,tet(A).v1*,-,dfrA27,DHA-1;OXA-1,-,CTX-M-15,-,-,SHV-11.v1,35Q,OmpK36-21%,-,GyrA-83I;ParC-80I,-,aac(6')-Ib-cr.v1?-0%,ST11,3,3,1,1,1,1,4,16,12,4,3,3,424*-85%,50,3,10,23,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49c8b8677a554f5d248297,ERR1204820,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,53,232132,840104,5508204,yes (681),ambiguous_bases,ST1243,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi23,KL14,K14,?-,Good,99.75%,KL14_20_manB,OL104,unknown (OL104),?-*,Good,85.34%,OL104_02_manB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,OmpK36-39%,-,-,-,-,ST1243,76,1,2,1,7,4,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49c33764435f63cf747c0b,ERR1204821,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,111,202139,523887,5705742,yes (491),ambiguous_bases,ST512,0,3,8,8,-,0,-,0,-,0,-,0,-,0,-,wzi154,KL107,unknown (KL107),none,Very high,99.98%,,O1/O2v2,O2afg,none,Very high,98.37%,,aac(6')-Ib'.v1;aadA2;aph3-Ia.v1^,-,-,-,-,mphA,catA1^,-,sul1,-,-,dfrA12,-,-,-,-,KPC-3,SHV-11.v1,35Q,OmpK35-25%;OmpK36GD,MgrB-0%,GyrA-83I;ParC-80I,OXA-9.v1*-42%,-,ST512,54,3,1,1,1,1,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49de5cf87f39431891f2ff,ERR1204822,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,102,198137,524336,5604805,yes (778),ambiguous_bases,ST512,0,3,9,9,-,0,-,0,-,0,-,0,-,0,-,wzi154,KL107,unknown (KL107),none,Very high,100.00%,,O1/O2v2,O2afg,none,Very high,98.37%,,aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^,-,-,-,-,mphA,catA1^,-,sul1,-,-,dfrA12,TEM-1D.v1^,-,-,-,KPC-3,SHV-11.v1,35Q,OmpK35-25%;OmpK36GD,MgrB-51%,GyrA-83I;ParC-80I,OXA-9.v1*-42%,-,ST512,54,3,1,1,1,1,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49ca7d677a5584f12482e0,ERR1204823,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,27,527902,1284915,5207455,yes (483),ambiguous_bases,ST294,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi274,KL30,K30,none,Very high,99.12%,,O1/O2v1,O1,none,Very high,99.90%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST294,2,1,2,1,4,4,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f4896ae677a552b1e246a47,ERR1204824,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,83,198138,420329,5475273,yes (684),ambiguous_bases,ST12,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi162,KL122,unknown (KL122),none,Very high,99.95%,,O1/O2v2,O2afg,none,Very high,98.48%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST12,6,3,1,1,12,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49993164435f8cee7478b5,ERR1204825,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,31,473825,863907,5600536,yes (691),ambiguous_bases,ST323,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi262,KL21,K21,?-+,Good,99.96%,"KL21_17_manC,KL21_18_manB",O3b,O3b,?-,Good,99.19%,"O3b_01_manC,O3b_02_manB",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,fosA7*-15%,-,ST323,2,1,1,1,9,1,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49db3cf87f39120991f2ae,ERR1204826,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,61,242089,561638,5446814,yes (491),ambiguous_bases,ST258,1,2,3,2,ybt 13; ICEKp2 (truncated),299-1LV,-,0,-,0,-,0,-,0,-,wzi29,KL106,unknown (KL106),none,Very high,100.00%,,O1/O2v2,O2afg,none,Very high,98.48%,,aph3-Ia.v1^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KPC-2,SHV-11.v1,35Q,OmpK35-25%,-,GyrA-83I;ParC-80I,-,-,ST258,3,3,1,1,1,1,79,6,4,20,14,1,126*-36%,131,2,4,52,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f48cea0f87f39a65f91dd0a,ERR1204827,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,92,198137,354405,5624691,yes (780),ambiguous_bases,ST11,1,2,10,12,ybt 9; ICEKp3,183,-,0,-,0,-,0,-,0,-,wzi50,KL15,K15,none,Very high,99.78%,,O4,O4,?-,Good,99.66%,O4_06_glycosyltransferase,aac(3)-IIa.v1^;aac(6')-Ib;aadA2^;rmtF,-,-,-,-,mphA,CatB4.v1?,arr-2,sul1,-,-,dfrA12,OXA-1,-,CTX-M-15,-,NDM-1,SHV-11.v1,35Q,OmpK36-34%,-,GyrA-83I;ParC-80I,aph3-Ia.v1*?-0%,-,ST11,3,3,1,1,1,1,4,5,11,6,5,1,25,37,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f498632f87f397fe991ece6,ERR1204828,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,27,553003,2161086,5223167,yes (573),ambiguous_bases,ST37,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi14,KL14,K14,none,Very high,99.98%,,O3b,O3b,none,Very high,99.17%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST37,2,9,2,1,13,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f495fd5f87f3976db91e9b5,ERR1204829,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,73,177107,560265,5540023,yes (878),ambiguous_bases,ST258,0,2,7,8,-,0,-,0,-,0,-,0,-,0,-,wzi154,KL107,unknown (KL107),?,Good,99.99%,,O1/O2v2,O2afg,none,Very high,98.38%,,aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^,-,-,-,-,mphA,catA1^,-,sul1,-,-,dfrA12,-,-,-,-,KPC-3,SHV-11.v1,35Q,OmpK35-25%;OmpK36GD,-,GyrA-83I;ParC-80I,-,-,ST258,3,3,1,1,1,1,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49e84ff87f397d8a91f401,ERR1204830,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,43,312871,863974,5417947,yes (588),ambiguous_bases,ST11,0,0,8,9,-,0,-,0,-,0,-,0,-,0,-,wzi50,KL15,K15,none,Very high,99.78%,,O4,O4,none,Very high,99.66%,,aac(6')-Ib-cr.v2^,-,-,qnrB4,-,mphA,catB3.v2,arr-3,sul1,tet(A).v1,-,-,DHA-1;OXA-1*,-,-,-,-,SHV-11.v1,35Q,OmpK35-40%,-,GyrA-83I;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49988f677a550ffe247eeb,ERR1204831,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,43,248984,524265,5238178,yes (778),ambiguous_bases,ST17,1,0,0,0,ybt 14; ICEKp5,140-2LV,-,0,-,0,-,0,-,0,-,wzi141,KL25,K25,-,High,99.15%,KL25_09_wfeD,O5,O5,*,High,94.21%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1^,35Q,OmpK36-24%,-,-,-,-,ST17,2,1,1,1,4,4,4,4,4,31,4,1,67,372,2,4,4,182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49821f677a557542247d29,ERR1204832,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,72,224917,1000434,5510304,yes (388),ambiguous_bases,ST11,1,1,6,8,ybt 10; ICEKp4,26,-,0,-,0,-,0,-,0,-,wzi75,KL105,unknown (KL105),none,Perfect,100.00%,,O1/O2v2,O2afg,none,Very high,98.44%,,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2,-,-,-,-,-,-,arr-3,sul1,-,-,-,OXA-1;TEM-1D.v1,-,CTX-M-15,-,-,SHV-11.v1,35Q,-,-,GyrA-83I;ParC-80I,-,catB3.v2?-0%,ST11,3,3,1,1,1,1,4,16,12,4,3,3,35,33,3,10,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f49be47f87f39cfac91f089,ERR1204834,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,44,368364,716091,5391985,yes (682),ambiguous_bases,ST104,1,0,0,0,ybt 9; ICEKp3,183,-,0,-,0,-,0,-,0,-,wzi102,KL31,K31,?,Good,99.08%,,O3b,O3b,?,Good,99.78%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-71,146V,-,-,-,-,-,ST104,2,3,1,1,2,1,43,5,11,6,5,1,25,37,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5f494854677a55bddd247880,ERR1204835,v2.3.3,v2.3.0,,Klebsiella pneumoniae,strong,71,197434,448051,5443299,yes (487),ambiguous_bases,ST395,1,1,8,9,ybt 16; ICEKp12,530-2LV,-,0,-,0,-,0,-,0,-,wzi2,KL2,K2,none,Very high,99.75%,,O1/O2v1,O1,-,High,99.97%,O1/O2v1_02_wzt,aac(6')-Ib-cr.v2,-,-,qnrS1,-,-,CatB4.v1?,-,sul1,tet(A).v1,-,dfrA1.v1,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1,35Q,OmpK35-72%,-,GyrA-83I;ParC-80I,-,-,ST395,3,1,2,4,1,1,4,87,15,121,126,11,245,325,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
